state,plant,owner,generators,capacity,online,id
OH,O.H. Hutchings,"Dayton Power and Light 
Company",4 of 6,276,1950 - 1953,2848
PA,Westwood Generating Station,"PPL Electric Utilities 
Corporation",1 of 1,36,1987,
PA,John B. Rich Memorial Power Station,Pennsylvania Power Company,1 of 1,88,1988,
PA,Wheelabrator Frackville Energy Company,"PPL Electric Utilities 
Corporation",1 of 1,48,1988,
PA,"Northeastern Power 
Cogeneration Facility","PPL Electric Utilities 
Corporation",1 of 1,58,1989,50039
PA,Ebensburg Power Company,"Pennsylvania Electric 
Company",1 of 1,58,1990,10603
PA,St. Nicholas Cogeneration,"PPL Electric Utilities 
Corporation",1 of 1,99,1990,54634
PA,Cambria Cogeneration,"Pennsylvania Electric 
Company",1 of 1,98,1991,10641
PA,Piney Creek Project,"Pennsylvania Electric 
Company",1 of 1,36,1992,54144
PA,Scrubgrass,"Pennsylvania Electric 
Company",1 of 1,95,1993,50974
PA,Beaver Valley ST,Duquesne Light Company,1 of 2,35,1987,10676
SC,H.B. Robinson Coal,"Carolina Power & Light 
Company",1 of 1,207,1960,3251
SC,Jefferies,South Carolina Public Service Authority,2 of 2,346,1970,3319
SC,W.S. Lee,"Duke Energy Carolinas, LLC",3 of 3,355,1951 -1958,3264
TN,Kingston,Tennessee Valley Authority,1 of 9,175,1954,3407
VA,Bremo Bluff,Virginia Electric and Power Company,2 of 2,254,1950 - 1958,3796
VA,James River ST,Virginia Electric and Power Company,2 of 2,115,1988,2161
VA,Chesterfield,Virginia Electric and Power Company,2 of 4,300,1952 -1960,3797
VA,Spruance Genco,Virginia Electric and Power Company,4 of 4,230,1992,54081
WV,Morgantown Energy Facility,Allegheny Electric Cooperative Inc.,1 of 1,69,1991,10743
WV,Grant Town Cogen,Monongahela Power Company,1 of 1,96,1992,10151
WI,Nelson Dewey,Wisconsin Power and Light Company,2 of 2,200,1959 - 1962,4054
WI,Weston,Wisconsin Public Service Corporation,2 of 4,142,1954 -1960,4078
WI,Alma,Dairyland Power Cooperative,2 of 5,136,1957 - 1960,4140
WI,Pulliam,Wisconsin Public Service Corporation,3 of 4,201,1949 - 1958,4072
