state,plant,owner,generators,capacity,online,id
NJ,Mercer,Public Service Enterprise Group Inc.,2 of 2,653,1960 - 1961,2408
NJ,Hudson 2,Public Service Enterprise Group Inc.,1 of 1,660,1968,2403
NY,Black River Generation,Multi-owned,1 of 1,56,1989,10464
NY,Westover,AES Corporation,1 of 2,75,1951,2526
NY,C.R. Huntley,"NRG Energy, Inc.",1 of 2,218,1957,2549
NY,Syracuse Energy Corp.,GDF Suez SA,1 of 2,91,1991,50651
NY,Danskammer 3-4,Dynegy Inc.,2 of 2,387,1959 - 1967,2480
NY,Samuel A. Carlson,Jamestown Board of Public Utilities,2 of 2,49,1951 - 1968,2682
NY,Dunkirk,"NRG Energy, Inc.",4 of 4,627,1950 - 1960,2554
NC,Elizabethtown ST,Vulcan Capital,1 of 1,35,1985,10380
NC,Lumberton ST,Vulcan Capital,1 of 1,35,1985,10382
NC,Roxboro ST,Capital Power Corp.,1 of 1,68,1987,2712
NC,Southport ST,Capital Power Corp.,2 of 2,135,1987,10378
NC,Rocky Mount/D.C. Battle,Multi-owned,2 of 2,115,1990,
NC,Cliffside,Duke Energy Corp.,1 of 5,571,1972,2721
NC,G.G. Allen,Duke Energy Corp.,5 of 5,"1,155",1957 - 1961,2718
ND,"R.M. Heskett Generating  
Station","MDU Resources Group, Inc.",1 of 2,75,1963,2790
OH,Hamilton,City of Hamilton,2 of 2,76,1965 - 1975,2917
OH,Orrville,City of Orrville,1 of 3,25,1971,
OH,O.H. Hutchings,AES Corporation,4 of 5,276,1950 - 1953,2848
OH,Painesville,City of Painesville,3 of 3,46,1953 - 1990,
OH,W.H. Sammis,FirstEnergy Corp.,6 of 7,"1,776",1959 - 1969,2866
PA,Mitchell Power Station 3,FirstEnergy Corp.,1 of 1,299,1963,3181
PA,Westwood Generating Station,"Integrys Energy Group, Inc.",1 of 1,36,1987,
PA,John B. Rich Memorial,Gilberton Power Company,1 of 1,88,1988,
PA,Wheelabrator Frackville,"Waste Management, Inc.",1 of 1,48,1988,50879
PA,"Northeastern Power 
Cogeneration",GDF Suez SA,1 of 1,58,1989,50039
PA,Ebensburg Power Company,McDermott International,1 of 1,58,1990,10603
PA,St. Nicholas Cogeneration,"Schuylkill Energy Resource, Inc.",1 of 1,99,1990,54634
PA,Cambria Cogeneration,Northern Star Generation,1 of 1,98,1991,10641
PA,Panther Creek,Multi-owned,1 of 1,94,1992,50776
PA,Piney Creek Project,"Colmac Clarion, Inc.",1 of 1,36,1992,54144
PA,Scrubgrass,Pacific Gas and Electric Co.,1 of 1,95,1993,50974
PA,Colver Power Project,"Constellation Energy Group, Inc.",1 of 1,118,1995,10143
PA,Beaver Valley Station,AES Corp.,1 of 2,35,1987,10676
PA,Montour,PPL Corp.,1 of 3,17,1973,3149
SC,H.B. Robinson Coal,"Progress Energy, Inc.",1 of 1,207,1960,3251
SC,Williams,SCANA Corp.,1 of 1,633,1973,3298
SC,Wateree,SCANA Corp.,2 of 2,772,1970 - 1971,3297
SC,Jefferies,South Carolina Public Service Authority,2 of 2,346,1970,3319
SC,W.S. Lee,Duke Energy Corp.,3 of 3,355,1951 - 1958,3264
SC,Winyah,South Carolina Public Service Authority,2 of 4,630,1977 - 1980,6249
TN,John Sevier,Tennessee Valley Authority,4 of 4,800,1955 - 1957,3405
TN,Kingston,Tennessee Valley Authority,9 of 9,"1,700",1954 - 1955,3407
TN,Johnsonville,Tennessee Valley Authority,9 of 10,"1,360",1951 - 1959,3406
VA,Altavista,"Dominion Resources, Inc.",1 of 1,71,1992,10773
VA,Hopewell (Polyester),"Dominion Resources, Inc.",1 of 1,71,1992,10771
VA,Southampton,"Dominion Resources, Inc.",1 of 1,71,1992,10774
VA,Bremo Bluff,"Dominion Resources, Inc.",2 of 2,254,1950 - 1958,3796
VA,James River Station,"Goldman Sachs Group, Inc.",2 of 2,115,1988,2161
VA,Portsmouth Station,Multi-owned,2 of 2,115,1988,10071
VA,Mecklenburg Cogeneration,"Dominion Resources, Inc.",2 of 2,140,1992,52007
VA,Clinch River,"American Electric Power Company, Inc.",2 of 3,475,1958,3775
VA,Chesterfield,"Dominion Resources, Inc.",3 of 4,659,1952 - 1964,3797
VA,Spruance Genco,Multi-owned,4 of 4,230,1992,54081
WV,Morgantown Energy Facility,"GenOn Energy, Inc.",1 of 1,69,1991,10743
WV,Grant Town Cogen,Edison International,1 of 1,96,1992,10151
WV,John E. Amos,"American Electric Power Company, Inc.",1 of 3,"1,300",1973,3935
WI,Genoa,Dairyland Power Cooperative,1 of 1,346,1969,4143
WI,Milwaukee County,Wisconsin Energy Corp.,1 of 1,11,1996,
WI,Nelson Dewey,Alliant Energy Corp.,2 of 2,200,1959 - 1962,4054
WI,Edgewater,Alliant Energy Corp.,1 of 3,60,1951,4050
WI,Menasha,Menasha Electric & Water Utility,1 of 3,14,1964,
WI,Weston,"Integrys Energy Group, Inc.",2 of 4,142,1954 - 1960,4078
WI,Pulliam,"Integrys Energy Group, Inc.",4 of 4,350,1949 - 1964,4072
WI,South Oak Creek,Wisconsin Energy Corp.,4 of 4,"1,192",1959 - 1967,4041
WI,Alma,Dairyland Power Cooperative,2 of 5,136,1957 - 1960,4140
